neighborhood,courts_count,courts_score
Squirrel Hill South,23,1.0
Highland Park,20,0.8695652173913043
Hazelwood,10,0.43478260869565216
Brookline,9,0.391304347826087
Beltzhoover,9,0.391304347826087
Allegheny Center,8,0.34782608695652173
Beechview,7,0.30434782608695654
East Liberty,6,0.2608695652173913
Lower Lawrenceville,6,0.2608695652173913
Regent Square,6,0.2608695652173913
Manchester,6,0.2608695652173913
Sheraden,6,0.2608695652173913
Mount Washington,5,0.21739130434782608
South Side Flats,5,0.21739130434782608
South Side Slopes,5,0.21739130434782608
Bloomfield,5,0.21739130434782608
Greenfield,5,0.21739130434782608
Terrace Village,5,0.21739130434782608
Lincoln Place,4,0.17391304347826086
Spring Hill-City View,4,0.17391304347826086
Morningside,4,0.17391304347826086
Elliott,4,0.17391304347826086
Troy Hill,3,0.13043478260869565
Oakwood,3,0.13043478260869565
Garfield,3,0.13043478260869565
Crafton Heights,3,0.13043478260869565
Banksville,3,0.13043478260869565
Carrick,3,0.13043478260869565
West End,2,0.08695652173913043
Spring Garden,2,0.08695652173913043
Shadyside,2,0.08695652173913043
Stanton Heights,2,0.08695652173913043
Upper Lawrenceville,2,0.08695652173913043
East Carnegie,2,0.08695652173913043
Fairywood,2,0.08695652173913043
Fineview,2,0.08695652173913043
Crawford-Roberts,2,0.08695652173913043
Duquesne Heights,2,0.08695652173913043
East Hills,2,0.08695652173913043
Bedford Dwellings,2,0.08695652173913043
Brighton Heights,2,0.08695652173913043
Central Northside,2,0.08695652173913043
Point Breeze,2,0.08695652173913043
Lincoln-Lemington-Belmar,2,0.08695652173913043
South Oakland,2,0.08695652173913043
Hays,1,0.043478260869565216
Bon Air,1,0.043478260869565216
Central Lawrenceville,1,0.043478260869565216
Allentown,1,0.043478260869565216
Central Oakland,1,0.043478260869565216
Marshall-Shadeland,1,0.043478260869565216
Larimer,1,0.043478260869565216
Polish Hill,1,0.043478260869565216
Perry South,1,0.043478260869565216
New Homestead,1,0.043478260869565216
Middle Hill,1,0.043478260869565216
Homewood West,1,0.043478260869565216
Squirrel Hill North,1,0.043478260869565216
Strip District,1,0.043478260869565216
Upper Hill,1,0.043478260869565216
