neighborhood,park_count,park_score
East Liberty,12,1.0
Central Business District,10,0.8333333333333334
Beechview,8,0.6666666666666666
Point Breeze,7,0.5833333333333334
South Side Slopes,7,0.5833333333333334
Squirrel Hill South,6,0.5
Hazelwood,6,0.5
Sheraden,6,0.5
Mount Washington,6,0.5
South Side Flats,6,0.5
South Oakland,5,0.4166666666666667
Troy Hill,5,0.4166666666666667
Central Oakland,4,0.3333333333333333
Elliott,4,0.3333333333333333
Brighton Heights,4,0.3333333333333333
Marshall-Shadeland,4,0.3333333333333333
Bloomfield,3,0.25
Manchester,3,0.25
Larimer,3,0.25
North Shore,3,0.25
Point Breeze North,3,0.25
Upper Lawrenceville,3,0.25
Westwood,3,0.25
Beltzhoover,3,0.25
Carrick,3,0.25
Crawford-Roberts,3,0.25
Garfield,3,0.25
Lincoln-Lemington-Belmar,3,0.25
Lower Lawrenceville,3,0.25
Greenfield,3,0.25
Brookline,3,0.25
Spring Hill-City View,3,0.25
Swisshelm Park,3,0.25
Central Northside,3,0.25
Terrace Village,2,0.16666666666666666
West End,2,0.16666666666666666
Banksville,2,0.16666666666666666
Allentown,2,0.16666666666666666
Allegheny Center,2,0.16666666666666666
Spring Garden,2,0.16666666666666666
Fineview,2,0.16666666666666666
Lincoln Place,2,0.16666666666666666
Homewood North,2,0.16666666666666666
Duquesne Heights,2,0.16666666666666666
Strip District,2,0.16666666666666666
Perry South,2,0.16666666666666666
Highland Park,2,0.16666666666666666
Polish Hill,2,0.16666666666666666
Perry North,2,0.16666666666666666
Crafton Heights,2,0.16666666666666666
Bluff,1,0.08333333333333333
Arlington,1,0.08333333333333333
Bedford Dwellings,1,0.08333333333333333
Bon Air,1,0.08333333333333333
East Carnegie,1,0.08333333333333333
East Hills,1,0.08333333333333333
Esplen,1,0.08333333333333333
Homewood West,1,0.08333333333333333
Homewood South,1,0.08333333333333333
Fairywood,1,0.08333333333333333
Hays,1,0.08333333333333333
Central Lawrenceville,1,0.08333333333333333
Oakwood,1,0.08333333333333333
New Homestead,1,0.08333333333333333
Middle Hill,1,0.08333333333333333
Regent Square,1,0.08333333333333333
Morningside,1,0.08333333333333333
North Oakland,1,0.08333333333333333
Squirrel Hill North,1,0.08333333333333333
Stanton Heights,1,0.08333333333333333
Upper Hill,1,0.08333333333333333
West Oakland,1,0.08333333333333333
Windgap,1,0.08333333333333333
